[2025-09-16 19:10:46,366] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-16 19:10:55,531] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-16 19:11:41,528] COMPLIANCE: Auto-fixing violation SC-002: python .claude_code_startup.py
[2025-09-16 19:11:45,518] COMPLIANCE: ❌ 5 compliance violations found
[2025-09-16 19:11:45,518] COMPLIANCE:   MAJOR: SC-003 - Too many uncommitted files: 28
[2025-09-16 19:11:45,518] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:11:45,519] COMPLIANCE:   MAJOR: DR-004-FLAKE8 - flake8 violations detected
[2025-09-16 19:11:45,519] COMPLIANCE:   MAJOR: DM-003 - Session documentation not updated
[2025-09-16 19:11:45,519] COMPLIANCE:   MAJOR: QA-001 - Test coverage 0.0% below required 85%
[2025-09-16 19:11:45,519] COMPLIANCE: 📊 Compliance Score: 35.0/100
[2025-09-16 19:11:45,519] COMPLIANCE: 🚨 CRITICAL COMPLIANCE VIOLATIONS DETECTED - SESSION MUST BE HALTED
[2025-09-16 19:11:45,519] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:11:45,520] COMPLIANCE: 💥 COMPLIANCE ENFORCEMENT: Critical compliance violations detected: 1
[2025-09-16 19:11:45,846] COMPLIANCE: Loaded 5 historical violations
[2025-09-16 19:11:45,846] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-16 19:11:54,114] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-16 19:12:28,223] COMPLIANCE: Auto-fixing violation SC-002: python .claude_code_startup.py
[2025-09-16 19:12:32,213] COMPLIANCE: ❌ 6 compliance violations found
[2025-09-16 19:12:32,213] COMPLIANCE:   MAJOR: SC-003 - Too many uncommitted files: 35
[2025-09-16 19:12:32,213] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:12:32,213] COMPLIANCE:   MAJOR: DR-004-FLAKE8 - flake8 violations detected
[2025-09-16 19:12:32,213] COMPLIANCE:   MAJOR: DR-004-MYPY - mypy violations detected
[2025-09-16 19:12:32,214] COMPLIANCE:   MAJOR: DM-003 - Session documentation not updated
[2025-09-16 19:12:32,214] COMPLIANCE:   MAJOR: QA-001 - Test coverage 0.0% below required 85%
[2025-09-16 19:12:32,214] COMPLIANCE: 📊 Compliance Score: 25.0/100
[2025-09-16 19:12:32,214] COMPLIANCE: 🚨 CRITICAL COMPLIANCE VIOLATIONS DETECTED - SESSION MUST BE HALTED
[2025-09-16 19:12:32,214] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:12:32,215] COMPLIANCE: 💥 COMPLIANCE ENFORCEMENT: Critical compliance violations detected: 1
[2025-09-16 19:12:39,621] COMPLIANCE: Loaded 6 historical violations
[2025-09-16 19:12:39,621] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-16 19:12:47,611] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-16 19:13:21,550] COMPLIANCE: Auto-fixing violation SC-002: python .claude_code_startup.py
[2025-09-16 19:13:25,592] COMPLIANCE: ❌ 6 compliance violations found
[2025-09-16 19:13:25,592] COMPLIANCE:   MAJOR: SC-003 - Too many uncommitted files: 35
[2025-09-16 19:13:25,592] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:13:25,592] COMPLIANCE:   MAJOR: DR-004-FLAKE8 - flake8 violations detected
[2025-09-16 19:13:25,593] COMPLIANCE:   MAJOR: DR-004-MYPY - mypy violations detected
[2025-09-16 19:13:25,593] COMPLIANCE:   MAJOR: DM-003 - Session documentation not updated
[2025-09-16 19:13:25,593] COMPLIANCE:   MAJOR: QA-001 - Test coverage 0.0% below required 85%
[2025-09-16 19:13:25,593] COMPLIANCE: 📊 Compliance Score: 25.0/100
[2025-09-16 19:13:25,593] COMPLIANCE: 🚨 CRITICAL COMPLIANCE VIOLATIONS DETECTED - SESSION MUST BE HALTED
[2025-09-16 19:13:25,593] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 19:13:25,594] COMPLIANCE: 💥 COMPLIANCE ENFORCEMENT: Critical compliance violations detected: 1
[2025-09-16 20:12:47,197] COMPLIANCE: Loaded 6 historical violations
[2025-09-16 20:12:47,197] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-16 20:12:58,300] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-16 20:13:39,341] COMPLIANCE: Auto-fixing violation SC-002: python .claude_code_startup.py
[2025-09-16 20:13:43,331] COMPLIANCE: ❌ 6 compliance violations found
[2025-09-16 20:13:43,331] COMPLIANCE:   MAJOR: SC-003 - Too many uncommitted files: 3960
[2025-09-16 20:13:43,332] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 20:13:43,332] COMPLIANCE:   MAJOR: DR-004-FLAKE8 - flake8 violations detected
[2025-09-16 20:13:43,332] COMPLIANCE:   MAJOR: DR-004-MYPY - mypy violations detected
[2025-09-16 20:13:43,332] COMPLIANCE:   MAJOR: DM-003 - Session documentation not updated
[2025-09-16 20:13:43,332] COMPLIANCE:   MAJOR: QA-001 - Test coverage 0.0% below required 85%
[2025-09-16 20:13:43,333] COMPLIANCE: 📊 Compliance Score: 25.0/100
[2025-09-16 20:13:43,333] COMPLIANCE: 🚨 CRITICAL COMPLIANCE VIOLATIONS DETECTED - SESSION MUST BE HALTED
[2025-09-16 20:13:43,333] COMPLIANCE:   CRITICAL: DR-001 - ABSOLUTE PROHIBITION VIOLATED: Failing tests detected
[2025-09-16 20:13:43,333] COMPLIANCE: 💥 COMPLIANCE ENFORCEMENT: Critical compliance violations detected: 1
[2025-09-16 20:18:57,625] COMPLIANCE: Loaded 6 historical violations
[2025-09-16 20:18:57,625] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-16 20:20:07,995] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 06:17:48,870] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 06:17:48,870] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 06:19:01,761] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 06:19:55,934] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 06:19:55,934] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 06:49:54,084] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 06:49:54,084] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 06:51:04,549] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 08:28:31,078] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 08:28:31,112] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 08:29:44,021] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 08:33:58,648] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 08:33:58,648] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 08:35:09,129] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 09:27:53,502] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 09:27:53,503] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 09:29:01,139] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 10:20:24,782] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 10:20:24,782] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 10:21:33,439] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 10:51:23,849] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 10:51:23,850] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 10:52:31,604] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 11:05:18,966] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 11:05:18,967] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 11:06:26,486] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 11:45:35,118] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 11:45:35,119] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 11:46:42,812] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 12:46:24,975] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 12:46:24,975] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 12:47:33,425] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 15:20:52,941] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 15:20:52,960] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 15:22:09,559] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 15:33:54,756] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 15:33:54,757] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 15:35:04,158] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 16:25:56,999] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 16:25:57,000] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 16:27:06,787] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 16:28:24,705] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 16:28:24,706] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 16:29:35,005] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 16:47:26,101] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 16:47:26,102] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 16:48:36,461] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-17 17:43:43,592] COMPLIANCE: Loaded 6 historical violations
[2025-09-17 17:43:43,594] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-17 17:44:53,870] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-18 06:28:44,553] COMPLIANCE: Loaded 6 historical violations
[2025-09-18 06:28:44,553] COMPLIANCE: 🔍 Running full compliance check...
[2025-09-18 06:29:51,882] COMPLIANCE: has_committed_failing_tests check not fully implemented
[2025-09-18 06:58:34,170] COMPLIANCE: Loaded 6 historical violations
[2025-09-18 06:58:34,170] COMPLIANCE: 🔍 Running full compliance check...
